"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2025/11/27","BEAHR","THREE","ZAB","2014/04/03","Y","BEAHR.BEAHR3","ELP"
"2025/11/27","BEANO","THREE","ZSU","2010/11/11","Y","BEANO.BEANO3","SJU"
"2025/11/27","BEARR","FIVE","ZLC","2017/10/12","N","BEARR.BEARR5","SLC"
"2025/11/27","SKEES","SIX","ZLC","2025/02/20","Y","BEARR.SKEES6","SLC"
"2025/11/27","BELLR","SIX","ZHU","2024/10/31","Y","BELLR.BELLR6","HOU"
"2025/11/27","TSHRT","TWO","ZHU","2022/11/03","N","BELLR.TSHRT2","54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME"
"2025/11/27","BENKY","SIX","ZAU","2020/11/05","Y","BENKY.BENKY6","ORD"
"2025/11/27","BEREE","THREE","ZFW","2024/07/11","Y","BEREE.BEREE3","DFW"
"2025/11/27","WHINY","FOUR","ZFW","2016/05/26","Y","BEREE.WHINY4","DFW"
"2025/11/27","BEWTE","FOUR","ZLC","2022/07/14","Y","BEWTE.BEWTE4","BOI"
"2025/11/27","BGHRN","THREE","ZLC","2018/09/13","Y","BGHRN.BGHRN3","BIL"
"2025/11/27","BGMAN","ONE","ZLC","2024/07/11","Y","BGMAN.BGMAN1","BZN"
"2025/11/27","BHHIA","THREE","ZMA","2022/11/03","Y","BHHIA.BHHIA3","FLL FXE OPF PMP"
"2025/11/27","SUBKY","ONE","ZLC","2024/07/11","Y","BIL.SUBKY1","BZN"
"2025/11/27","DEALE","THREE","ZDC","2018/03/29","Y","BILIT.DEALE3","DCA"
"2025/11/27","BITHO","SEVEN","ZJX","2014/05/29","N","BITHO.BITHO7","COF COI ISM MCO MLB TIX TTS XMR"
"2025/11/27","BLEWE","FIVE","ZHU","2023/02/23","N","BLEWE.BLEWE5","3R9 AUS EDC HYI RYW T74"
"2025/11/27","BLFRG","THREE","ZMA","2025/02/20","Y","BLFRG.BLFRG3","CLW MCF PIE SPG TPA"
"2025/11/27","BLYTHE","FIVE","ZAB","2017/04/27","N","BLH.BLH5","CHD DVT FFZ IWA P19 PHX SDL"
"2025/11/27","BLOCC","TWO","ZTL","2018/05/24","N","BLOCC.BLOCC2","GSO INT"
"2025/11/27","BLOGS","THREE","ZDC","2021/02/25","Y","BLOGS.BLOGS3","RDU"
"2025/11/27","SNDAY","ONE","ZHU","2024/10/31","Y","BLUBL.SNDAY1","54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME"
"2025/11/27","BLUEM","FOUR","ZMP","2021/03/25","Y","BLUEM.BLUEM4","MSP"
"2025/11/27","BLUZZ","FIVE","ZME","2024/10/31","Y","BLUZZ.BLUZZ5","MEM"
"2025/11/27","BMBER","ONE","ZOA","2019/12/05","Y","BMBER.BMBER1","CCR SUU"
"2025/11/27","BNFSH","THREE","ZMA","2025/05/15","Y","BNFSH.BNFSH3","07FA HST MIA TMB X51"
"2025/11/27","CAVLR","SIX","ZDC","2024/07/11","Y","BNTLY.CAVLR6","IAD"
"2025/11/27","BOEGY","TWO","ZLA","2022/01/27","Y","BOEGY.BOEGY2","HND"
"2025/11/27","WYLND","ONE","ZLA","2021/02/25","Y","BOEGY.WYLND1","VGT"
"2025/11/27","BOGET","TWO","ZLA","2018/07/19","Y","BOGET.BOGET2","LAX SMO"
"2025/11/27","BOKRT","THREE","ZTL","2020/07/16","Y","BOKRT.BOKRT3","CNI FTY GVL LZU MGE PDK PUJ RYY VPC"
"2025/11/27","BONZZ","TWO","ZOB","2019/10/10","Y","BONZZ.BONZZ2","DTW"
"2025/11/27","KLYNK","THREE","ZOB","2019/10/10","Y","BONZZ.KLYNK3","DTW"
"2025/11/27","BOOKE","EIGHT","ZHN","2014/02/06","N","BOOKE.BOOKE8","HNL"
"2025/11/27","BOOSH","THREE","ZKC","2020/07/16","Y","BOOSH.BOOSH3","STL"
"2025/11/27","BOOVE","SEVEN","ZFW","2024/07/11","Y","BOOVE.BOOVE7","DFW"
"2025/11/27","SHMPP","THREE","ZFW","2024/07/11","Y","BOOVE.SHMPP3","DFW"
"2025/11/27","SOCKK","FOUR","ZFW","2021/04/22","Y","BOOVE.SOCKK4","DFW"
